#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:tree">
#                <taxonset id="TaxonSet.transeurasian_stable" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:transeurasian_stable" name="distribution">
#            <parameter id="bcov_alpha.s:transeurasian_stable" lower="1.0E-4" name="x" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr"/>
#        </prior>
#        <prior id="bcov_s_prior.s:transeurasian_stable" name="distribution">
#            <parameter id="bcov_s.s:transeurasian_stable" lower="1.0E-4" name="x" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="MeanRatePrior.c:clock" name="distribution">
#            <parameter id="ucldMean.c:clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.4" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:clock" name="distribution">
#            <parameter id="ucldStdev.c:clock" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <distribution id="Yayoi.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Yayoi" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Yuwan" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Yonaguni" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Tarama" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Shuri" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Okinoerabu" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ogami" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Japanese" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Ikema" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Hateruma" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <LogNormal id="LogNormalDistributionModel.0" meanInRealSpace="true" name="distr" offset="1700.0">
#                <parameter estimate="false" id="RealParameter.6" name="M">400.0</parameter>
#                <parameter estimate="false" id="RealParameter.7" lower="0.0" name="S" upper="5.0">0.6</parameter>
#            </LogNormal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.transeurasian_stable" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@transeurasian_stable" excludeto="1" filter="-" id="orgdata.transeurasian_stable" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:transeurasian_stable" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:transeurasian_stable" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:transeurasian_stable" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:transeurasian_stable" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:transeurasian_stable" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:transeurasian_stable">
#                    <parameter dimension="2" id="frequencies.s:transeurasian_stable" lower="0.0" name="vfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:transeurasian_stable" lower="0.0" name="hfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@transeurasian_stable" estimate="false" id="dummyfrequencies.s:transeurasian_stable" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@ucldMean.c:clock" id="RelaxedClock.c:clock" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:tree">
#                <LogNormal S="@ucldStdev.c:clock" id="LogNormalDistributionModel.c:clock" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.3" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="74" id="rateCategories.c:clock" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.transeurasian_stable	TreeHeight.t:tree	mutationRate.s:transeurasian_stable	bcov_alpha.s:transeurasian_stable	bcov_s.s:transeurasian_stable	YuleModel.t:tree	birthRate.t:tree	frequencies.s:transeurasian_stable1	frequencies.s:transeurasian_stable2	ucldStdev.c:clock	rate.c:clock.mean	rate.c:clock.variance	rate.c:clock.coefficientOfVariation	monophyletic(Yayoi)	logP(mrca(Yayoi))	mrca.age(Yayoi)	ucldMean.c:clock
17000	-1444.8118291485068	-1214.6517346322157	-230.16009451629108	-1214.6517346322157	2041.93595048186	1.0	0.09288574759317825	0.2897776435022349	-218.9547499545118	0.00662389659891383	0.516349360057	0.48365063994300006	1.140426497538595	1.6985883750817725	2.2345434408024953	1.6120521960392633	0	-6.243481258462129	2041.93595048186	0.9411284721706422
18000	-1440.2343019562256	-1210.830738611329	-229.40356334489658	-1210.830738611329	2184.6760162600744	1.0	0.09288574759317825	0.2850436081701555	-217.83742717946862	0.006532173105009943	0.5187188255399887	0.48128117446001134	1.0865302774151087	0.8526920705341532	1.1410068491712628	1.5825606374807262	0	-6.7838102198074814	2184.6760162600744	0.7515798593710056
19000	-1445.1696727100343	-1220.0679294314257	-225.10174327860852	-1220.0679294314257	1903.7128303648844	1.0	0.10493827737475538	0.2850436081701555	-214.88723108284475	0.006853007152620837	0.5187188255399887	0.48128117446001134	0.8816708057522484	0.2186877912346742	0.19566823476650033	1.08866792617109	0	-6.064797505849527	1903.7128303648844	0.46186974227023275
20000	-1444.089592055176	-1221.3844822118272	-222.7051098433487	-1221.3844822118272	1938.5660209352625	1.0	0.10493827737475538	0.23710670953279575	-212.91043517359782	0.008559868165221965	0.5187188255399887	0.48128117446001134	0.813471475232519	0.45990742711708976	0.10567535215510465	0.976879582035395	0	-6.040323823076094	1938.5660209352625	0.37436145797456344
21000	-1444.077559098228	-1215.392706465841	-228.68485263238708	-1215.392706465841	2163.7668785036203	1.0	0.10493827737475538	0.29268867567877593	-217.6450422792099	0.008767834245093661	0.5187188255399887	0.48128117446001134	0.9352138346033242	0.2628564029632474	0.08302431860688637	1.138112126231192	0	-6.6968419486485	2163.7668785036203	0.3150820622187245
22000	-1429.0884075616952	-1189.6818931745372	-239.40651438715807	-1189.6818931745372	2453.5383888503316	1.0	0.08238937946646416	0.29268867567877593	-226.45371987667994	0.008442600811672583	0.5209620421019496	0.47903795789805037	1.1502019261759449	0.0969988612647901	0.05474778005771412	1.2844439969480772	0	-7.951617828580083	2453.5383888503316	0.23065591811637481
23000	-1404.4125197434314	-1174.6338205763543	-229.77869916707698	-1174.6338205763543	2099.3679385870805	1.0	0.0883477943181224	0.29268867567877593	-218.4146173440564	0.01092270493619369	0.5293996134190845	0.4706003865809156	1.1239719478182946	0.07807160068011006	0.06820712346290513	1.271030475131291	0	-6.442208824993102	2099.3679385870805	0.27685111680035357
24000	-1415.63229755828	-1188.541901213293	-227.09039634498706	-1188.541901213293	1820.9297356960892	1.0	0.0883477943181224	0.31958032727133445	-215.51920260963152	0.009202928116974613	0.5293996134190845	0.4706003865809156	1.0993718864576032	0.1427581247996365	0.08324162760966247	1.3399232411753041	0	-6.637730859796214	1820.9297356960892	0.2825510452070587
25000	-1419.4908053874913	-1187.0018329791114	-232.48897240837988	-1187.0018329791114	1976.5125617999113	1.0	0.1063406605466587	0.36792128849238415	-221.57686990189595	0.0063738005030698625	0.5293996134190845	0.4706003865809156	1.0207271176076553	0.04086456401412841	0.009871139855021064	1.2460232546105876	0	-6.080091076342783	1976.5125617999113	0.09904608536949204
26000	-1409.3022632874413	-1176.4515424216033	-232.85072086583799	-1176.4515424216033	2167.7968892696035	1.0	0.10822221874061423	0.3285985618400132	-220.91602457670078	0.008136834165459336	0.5319050626916436	0.4680949373083564	1.1855546496141425	0.03769440449711663	0.006434178608972521	1.3799800261470292	0	-6.713479244736513	2167.7968892696035	0.08355224346213627
27000	-1396.604088581434	-1172.1360323683139	-224.46805621312018	-1172.1360323683139	1838.978954276052	1.0	0.09412479863137459	0.3260202132284055	-213.01994462485968	0.010205201340512308	0.5252163784589668	0.47478362154103315	1.1270873063318192	0.03145208998868721	0.005150660299835081	1.1931472006645587	0	-6.4110161827133805	1838.978954276052	0.07173392502054649
28000	-1390.0828067396396	-1166.2451106697836	-223.83769606985612	-1166.2451106697836	1904.845854582158	1.0	0.08903882998064591	0.27344781364325565	-212.83415062197835	0.009959921070954296	0.531964406411364	0.468035593588636	1.1522319723532173	0.02629488652759875	0.004163341174415985	1.2912042241252437	0	-6.062764111983614	1904.845854582158	0.06440905963759078
29000	-1401.3693125496743	-1170.1134913211463	-231.25582122852813	-1170.1134913211463	2236.423865909681	1.0	0.08903882998064591	0.2788920918115146	-219.23621803298644	0.007138618957703754	0.5242529489076763	0.4757470510923237	1.1705316046967047	0.027334305297502814	0.001842468887085092	1.3744016812764048	0	-7.004377083934926	2236.423865909681	0.04065128647062451
30000	-1401.6406795414239	-1177.1823857403413	-224.4582938010827	-1177.1823857403413	1822.1914470860697	1.0	0.08903882998064591	0.2788920918115146	-213.82843016122132	0.010613113368323464	0.5242529489076763	0.4757470510923237	0.8444030864004781	0.024154163290783504	4.843365069221935E-4	0.8367137136130991	0	-6.618959614411028	1822.1914470860697	0.028744054190117756
31000	-1395.5298824663025	-1171.5371789814596	-223.99270348484288	-1171.5371789814596	1927.1925956916305	1.0	0.08903882998064591	0.3530668135275543	-214.1243983748139	0.011592821201323173	0.5312551728621943	0.4687448271378057	0.715268842644899	0.013657696782531282	2.93209463874288E-4	0.7741935828438546	0	-6.040492410247653	1927.1925956916305	0.022451645094518868
32000	-1395.823443961927	-1171.869149966207	-223.9542939957201	-1171.869149966207	1937.086837547984	1.0	0.08903882998064591	0.3530668135275543	-213.5045937751185	0.0073995238747638845	0.5312551728621943	0.4687448271378057	0.8975800667695006	0.05845100844254268	6.026262586055474E-4	1.0534940784602749	0	-6.039977049701989	1937.086837547984	0.021351381970826373
33000	-1401.0060857312862	-1170.869548557003	-230.1365371742832	-1170.869548557003	2148.9474909553587	1.0	0.0805824371727623	0.3530668135275543	-219.89917378528088	0.004899029894227686	0.5312551728621943	0.4687448271378057	0.6464735114262181	0.0575126010182441	2.3293412470409727E-4	0.7658393481172185	0	-6.636248862083774	2148.9474909553587	0.018942896483079442
34000	-1391.3121565144013	-1170.549286229017	-220.76287028538414	-1170.549286229017	1847.5938096970558	1.0	0.08965547751767756	0.3530668135275543	-210.98411968153997	0.00853033373874244	0.5312551728621943	0.4687448271378057	0.6011896746876841	0.02569433027202375	1.1622307821469733E-4	0.6327549584358351	0	-6.329646242722478	1847.5938096970558	0.01795604129921545
35000	-1389.2408527055884	-1164.3349115780034	-224.90594112758498	-1164.3349115780034	2037.3404614592862	1.0	0.08965547751767756	0.3530668135275543	-215.60440901243058	0.010486781936918972	0.5354238858001344	0.4645761141998655	0.49236125713687146	0.02319411288373761	1.0035562670841921E-4	0.5728685897968848	0	-6.229334352827227	2037.3404614592862	0.017585318465941642
36000	-1396.4830493251782	-1167.896352821532	-228.5866965036461	-1167.896352821532	2125.2657261401087	1.0	0.08965547751767756	0.3530668135275543	-219.3902081816971	0.005696826092813217	0.5354238858001344	0.4645761141998655	0.37898407263807954	0.007229521317028633	1.4698870374795247E-5	0.4282575379754919	0	-6.541662399542698	2125.2657261401087	0.008939790161910812
37000	-1402.4758746453	-1174.7942935975414	-227.68158104775875	-1174.7942935975414	2005.9217574471302	1.0	0.08965547751767756	0.3530668135275543	-218.22379213670052	0.005984249492604146	0.5354238858001344	0.4645761141998655	0.5620308964791461	0.009533603641440663	2.9062563834908383E-5	0.6362350590485936	0	-6.142230907170081	2005.9217574471302	0.008033356194976346
38000	-1385.9709481491568	-1157.3947923473766	-228.57615580178037	-1157.3947923473766	2023.8073736057866	1.0	0.049543002168321686	0.3530668135275543	-218.89451464117252	0.007250374617532162	0.5354590272624195	0.46454097273758055	0.6138996805732327	0.01125006412529627	2.3102966698692724E-5	0.7603632421522711	0	-6.189623771407731	2023.8073736057866	0.005814321740363942
39000	-1394.1530428448214	-1162.5130385003458	-231.64000434447544	-1162.5130385003458	1922.2939462925951	1.0	0.049543002168321686	0.3530668135275543	-222.3675186554317	0.007644254019951245	0.5354590272624195	0.46454097273758055	0.5372127950267016	0.00285978663821465	4.813676893560775E-6	0.6496774769872712	0	-6.042706383451865	1922.2939462925951	0.0034407619157942504
40000	-1398.9382808347023	-1163.4155435864125	-235.5227372482898	-1163.4155435864125	1830.9814204037903	1.0	0.049543002168321686	0.3286592409371865	-225.3162245128389	0.0062471281799202395	0.5340976386943217	0.4659023613056783	0.6994135425826155	0.0023500799051617213	4.9576169155181735E-6	0.8574283712856727	0	-6.5010321896636425	1830.9814204037903	0.002508499255231067
41000	-1407.7441775698053	-1167.400367614715	-240.3438099550904	-1167.400367614715	1796.5017003899072	1.0	0.049543002168321686	0.3057927385136212	-228.9675187627139	0.005329255778853254	0.5510196045399431	0.4489803954600569	0.8937702298817843	0.0024645999352402004	7.524189087415794E-6	1.126177358404256	0	-7.1197920691972945	1796.5017003899072	0.0024374748698648033
42000	-1415.21214967044	-1167.8281195971404	-247.38403007329975	-1167.8281195971404	2033.5978605835564	1.0	0.03944043557523304	0.3057927385136212	-237.17490234635633	0.005263730137660151	0.5510196045399431	0.4489803954600569	0.8097607245221836	0.001217153198036951	1.9952045671878708E-6	1.0729074650008048	0	-6.218052410769428	2033.5978605835564	0.0013598892249220484
43000	-1415.536972152828	-1167.688119884519	-247.84885226830892	-1167.688119884519	1900.6329555808475	1.0	0.04688329091904665	0.3057927385136212	-237.94017873864024	0.004175630955387858	0.5510196045399431	0.4489803954600569	0.7619458747368681	0.001156878469792184	1.6185910752702973E-6	0.9812892411650774	0	-6.070822206777317	1900.6329555808475	0.0013172512928653944
44000	-1413.629765673058	-1163.3194014816597	-250.31036419139835	-1163.3194014816597	1881.2826673690117	1.0	0.030224520960610887	0.2377824301566765	-240.4121105568616	0.004394700646995893	0.5510196045399431	0.4489803954600569	0.8177972744556274	9.62558198453316E-4	1.9274222334729002E-6	1.0789909493187377	0	-6.127362869986296	1881.2826673690117	0.0012256394317836103
45000	-1413.6653282217585	-1152.8538713081118	-260.8114569136468	-1152.8538713081118	1843.2282171641943	1.0	0.030224520960610887	0.2377824301566765	-250.54205847488595	0.0034362353092091944	0.5510196045399431	0.4489803954600569	0.858675124815514	7.041296034408823E-4	1.1797294855750426E-6	1.1319022955412368	0	-6.369013023923516	1843.2282171641943	9.333063159484301E-4
46000	-1419.1809902072077	-1156.227909894376	-262.95308031283196	-1156.227909894376	1986.2468256094808	1.0	0.030224520960610887	0.2377824301566765	-253.00512288642824	0.002315448387690951	0.5510196045399431	0.4489803954600569	0.8426624120810235	6.142902472549071E-4	7.194859096915933E-7	0.990408506096131	0	-6.098167759973664	1986.2468256094808	8.305892441269844E-4
